#  L TT            EE            BB            TE            PP            PT            PE           
 146 1.5719496e+03 4.2138243e-01 1.7872459e-03 -1.4080119e+01 6.5242591e-08 3.3095315e-04 -3.1994059e-06
 147 1.5817974e+03 4.1870094e-01 1.8122366e-03 -1.4143313e+01 6.4812795e-08 3.2763943e-04 -2.9841448e-06
 148 1.5916029e+03 4.1592620e-01 1.8373842e-03 -1.4198283e+01 6.4386940e-08 3.2437283e-04 -2.7799644e-06
 149 1.6013576e+03 4.1307627e-01 1.8626991e-03 -1.4244622e+01 6.3964951e-08 3.2115500e-04 -2.5898297e-06
 150 1.6110532e+03 4.1016920e-01 1.8881927e-03 -1.4281925e+01 6.3546824e-08 3.1798777e-04 -2.4167058e-06
 151 1.6206737e+03 4.0721875e-01 1.9138767e-03 -1.4309959e+01 6.3132508e-08 3.1487225e-04 -2.2628902e-06
 152 1.6302323e+03 4.0422142e-01 1.9397634e-03 -1.4328586e+01 6.2721958e-08 3.1180761e-04 -2.1280184e-06
 153 1.6397200e+03 4.0117681e-01 1.9658654e-03 -1.4337693e+01 6.2315172e-08 3.0879262e-04 -2.0110616e-06
 154 1.6491426e+03 3.9808455e-01 1.9921958e-03 -1.4337315e+01 6.1912086e-08 3.0582582e-04 -1.9109898e-06
 155 1.6584985e+03 3.9492938e-01 2.0187675e-03 -1.4327264e+01 6.1512697e-08 3.0290602e-04 -1.8267749e-06
 156 1.6678010e+03 3.9171834e-01 2.0455940e-03 -1.4307575e+01 6.1116961e-08 3.0003179e-04 -1.7573878e-06
 157 1.6770335e+03 3.8843616e-01 2.0726881e-03 -1.4278135e+01 6.0724849e-08 2.9720185e-04 -1.7018006e-06
 158 1.6862092e+03 3.8509730e-01 2.1000631e-03 -1.4238905e+01 6.0336317e-08 2.9441481e-04 -1.6589851e-06
 159 1.6953192e+03 3.8168647e-01 2.1277316e-03 -1.4189846e+01 5.9951370e-08 2.9166947e-04 -1.6279144e-06
 160 1.7043618e+03 3.7821070e-01 2.1557061e-03 -1.4130993e+01 5.9569937e-08 2.8896435e-04 -1.6075605e-06
 161 1.7133205e+03 3.7466956e-01 2.1839985e-03 -1.4062232e+01 5.9192002e-08 2.8629824e-04 -1.5968969e-06
 162 1.7221937e+03 3.7106261e-01 2.2126203e-03 -1.3983674e+01 5.8817549e-08 2.8366980e-04 -1.5948969e-06
 163 1.7309798e+03 3.6740427e-01 2.2415823e-03 -1.3895129e+01 5.8446521e-08 2.8107762e-04 -1.6005337e-06
 164 1.7396623e+03 3.6367925e-01 2.2708945e-03 -1.3796783e+01 5.8078903e-08 2.7852049e-04 -1.6127816e-06
 165 1.7482471e+03 3.5989452e-01 2.3005663e-03 -1.3688522e+01 5.7714666e-08 2.7599702e-04 -1.6306144e-06
 166 1.7567250e+03 3.5605706e-01 2.3306060e-03 -1.3570456e+01 5.7353779e-08 2.7350595e-04 -1.6530070e-06
 167 1.7650945e+03 3.5217384e-01 2.3610212e-03 -1.3442619e+01 5.6996207e-08 2.7104587e-04 -1.6789332e-06
 168 1.7733540e+03 3.4825182e-01 2.3918182e-03 -1.3305270e+01 5.6641921e-08 2.6861553e-04 -1.7073685e-06
